8841	3065
6872	8148
3320	55664
83746	64769
10980	8065
11007	149371
2248	6187
7277	51762
1107	93974
7322	55743
641	6612
10524	10621
5576	862
8106	8106
867	2150
4193	56893
5982	23612
4115	117246
5566	3984
7314	8728
9140	23451
25885	10541
6314	8464
653121	8907
1213	23163
6638	25998
5914	6714
5898	51762
3690	6464
6095	55629
3265	23179
5264	2157
5071	7332
4254	2323
10921	11171
23476	2885
79101	54700
3635	1796
5764	51631
3281	3297
3843	6147
3565	3598
1634	1288
2962	688
1828	25818
9817	2107
6185	55969
4968	7508
5770	6777
3856	1756
4086	4090
9667	6294
9397	7157
3178	51684
1762	23513
64499	5295
7322	54941
4001	9816
10558	55969
9063	2099
11284	58529
8412	302
7260	57805
7874	7189
9031	11198
2584	54726
4841	8379
3689	83660
2580	367
92609	8517
5335	5781
3091	10801
3172	8761
6871	10474
5903	4193
4771	7248
23385	51107
7026	3065
5493	1308
7186	23043
8664	8669
8664	8666
7186	26060
5894	5911
1471	1514
1358	1358
9733	51690
5077	25937
8761	54464
2113	5598
5170	3667
5792	3667
1511	2150
4292	836
1129	114928
5580	60312
8848	9821
10001	9412
4036	23542
4193	11186
51497	26140
2547	1660
9210	9210
3250	335
604	51564
9781	1874
64837	23162
55660	5211
57602	10885
7832	3276
1499	64321
4085	9587
1387	122953
7454	1399
3708	90627
1398	10657
7184	9451
5657	2149
7448	3694
8560	11051
10491	57599
111	2770
336	347
11345	91754
57506	3665
6723	1762
6839	6305
4088	6016
7314	81788
26959	26128
60	4653
11113	1742
10499	3276
3910	51003
367	60
3297	2288
6776	2100
6692	55603
3983	7431
3624	7049
7083	10589
202559	23301
10099	5010
4094	389692
5594	10818
9049	1457
406	9575
3897	8682
3759	1740
9230	80223
213	51631
10682	84650
3630	94121
898	6597
898	6595
55165	55048
8530	1514
29927	1174
347733	5970
2104	10957
358	9463
59	7248
9031	23612
2130	387338
5216	54518
367	5881
117178	117178
8772	11124
3981	7518
1499	5300
7529	1859
3818	5104
8521	10014
10419	8370
10010	7874
10213	55698
23042	11331
3329	5566
8460	1240
22938	10499
5578	147
6929	808
4627	4215
11103	84101
6329	10207
4233	5796
5874	22895
2335	3488
10459	10459
4067	5062
1742	22941
8065	8065
22938	6919
8459	6404
4214	10808
27257	25804
2670	26751
842	841
892	219541
5230	7534
4163	11331
5716	51377
1975	817
22824	7392
5826	8682
2810	11187
23244	55290
6714	11140
5144	9659
8481	8295
5743	5707
7010	5796
9342	55014
9014	9014
2175	3280
5708	55791
27257	23658
3841	8125
5578	9464
92609	9500
996	4085
3689	23637
22944	6118
286	6005
9513	10567
5111	328
5111	6117
9611	3308
6154	24140
4086	51588
23543	473
23122	56950
10188	55846
2633	2342
4163	64928
9802	10422
2633	2339
1025	29969
6271	5350
898	675
4914	5795
7157	55869
2192	1839
7532	6789
6429	10921
2099	2288
6579	79849
5518	4215
8678	57120
3146	3237
4116	9939
4211	3202
2201	4237
4914	5921
23774	7431
3560	6461
7534	9185
6689	1874
10772	29896
9282	10001
60	10810
960	7410
1288	5653
7187	8764
7844	7322
3791	5361
55096	5564
140901	57154
5987	55284
6662	3837
10397	1499
11098	57489
4703	84665
1991	2006
283989	79042
2661	333
2897	9463
7428	10155
7133	51065
2869	857
7041	56893
5746	113091
6722	51008
3609	23076
4163	1785
2932	10540
10538	1649
6885	4091
10133	51019
10019	10019
3055	5921
3725	7314
10133	26994
2081	84447
1277	7295
5062	8668
10421	1974
11007	7718
11345	90678
10403	26258
7529	23524
1727	3048
51780	57473
1871	4605
5578	6344
8662	8661
64326	6494
5906	9693
9101	92421
4804	4909
3675	3675
1984	22803
4790	2932
4804	4099
6620	80152
8867	51429
5580	4225
9146	10540
23164	116986
2175	973
10497	8447
10497	8448
9351	23035
2665	9474
6426	9541
7165	9641
9276	3611
3398	5076
658	9943
8092	60529
229	55212
1991	3684
5327	4035
26135	1616
10382	10573
112950	9477
83660	83660
6500	4904
55660	11100
5887	7508
2099	8503
1124	6613
5518	4791
5250	8717
2130	84224
4188	56654
5515	55690
54107	11177
1622	706
2885	9472
51282	7718
5783	8772
6478	10114
10425	5518
5900	10256
1414	1414
5518	8766
9146	6642
4163	2885
7514	57154
1326	659
112840	81488
8655	1781
55704	81565
9463	23426
2048	10044
7322	89970
5867	5300
9454	7223
10062	54929
4942	54726
9338	55527
1743	2314
2771	29899
3689	7094
3688	3688
4907	60
65990	51631
10382	7185
7414	5720
947	10164
7157	649
6498	4035
6829	3014
7294	7294
7005	25937
6892	26958
8851	51654
5764	51019
7532	23271
10938	30845
1051	1649
5594	5778
3146	3232
5685	5686
3690	207
857	7851
11103	81030
3932	4792
3275	8648
2810	9266
4088	652991
4690	996
10971	7351
3972	2771
6402	7430
1803	1803
890	1026
5394	118460
5894	3560
5618	1154
81576	7718
1213	23118
4087	54165
382	57510
55182	55284
1499	91653
10656	79871
382	27101
5452	3148
164	92737
8553	7157
7283	54820
6885	7444
6783	1915
2626	1397
1060	26015
6117	5888
5813	5813
11076	2932
1974	10480
3726	4779
9040	64773
375790	8328
1915	1915
23376	55284
79866	79866
3320	7818
10084	10907
83548	9382
1488	4193
2834	23426
10879	4589
811	1999
2626	1482
7325	6048
27257	5788
1831	51440
5584	5584
11100	51003
10382	4214
3172	4089
7416	7277
6595	6599
4618	808
84967	11171
1736	1937
5886	1915
5924	10654
2033	1387
8468	8812
7305	54209
10174	9231
498	9255
4804	5595
10558	19
7431	84289
1025	10575
1025	10694
841	9020
152831	26291
5395	22820
988	51503
2065	84951
3852	239
5396	2969
6950	83992
59350	59350
8085	7403
1828	11187
7528	23429
8841	10320
8773	54212
7048	11171
563	563
59339	59338
59307	7189
8021	4799
11168	10923
999	1457
95	585
4301	5818
1081	5764
6929	4691
5987	3646
4905	11161
2906	1740
6919	6456
6790	1029
8819	5928
3459	3716
10399	6531
6498	22907
8988	51003
29984	4087
5585	54469
2040	471
4860	84060
2904	55914
2885	64714
10987	8065
5432	55090
2774	29086
8480	84128
602	6464
3364	6118
1968	5564
1019	56475
7916	29894
9001	3646
1676	51643
6118	4173
10845	8192
57473	55643
5116	51143
7273	55723
57484	51619
10922	11030
8481	51631
930	975
126282	1857
11170	1503
4860	7019
64218	64218
2775	2770
71	55729
5581	2768
2033	5629
8412	191
5595	5599
6383	3909
983	672
10956	54583
1937	84676
10664	4904
19	4008
8666	51678
4066	4733
2010	91746
85409	64320
7855	57120
1284	633
58	9562
51652	51652
3480	9365
10728	7189
1280	7057
4153	22918
1743	23256
23529	23529
9862	6256
2002	6622
573971	3329
7030	5516
10425	1915
7035	5646
4650	10565
39	9474
7133	83481
9722	7804
8870	5515
5689	23178
55294	10891
1756	1837
3690	7057
5781	3635
7514	8517
4092	5608
4088	8850
3065	1643
7324	115123
284058	80321
7529	11214
4690	2516
55109	26258
4678	9641
654364	6418
602	5971
998	79658
4163	4215
9232	991
7150	81620
3184	202559
6871	2648
2071	5705
1742	10369
55791	91653
8819	5947
89780	1742
23295	7321
